"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;4;2015 Buenos Aires;10/01/2015;Nick Heidfeld;23;Venturi;Venturi;8;3;35;15464;0;4,0,0;4"
"1;4;2015 Buenos Aires;10/01/2015;Oriol Servià;6;Dragon Racing;Dragon;9;13;35;19334;0;2,0,0;2"
"1;4;2015 Buenos Aires;10/01/2015;Stéphane Sarrazin;30;Venturi;Venturi;10;11;35;28973;0;1,0,0;1"
"1;4;2015 Buenos Aires;10/01/2015;Ho-Pin Tung;88;China Racing;NIO-NextEV;11;15;35;378583;0;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Marco Andretti;28;Andretti;BMW-Andretti;12;14;34;+1 lap;0;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Daniel Abt;66;Audi Sport ABT;Audi;13;12;33;+2 laps4;0;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;14;26;33;+2 laps;0;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Jarno Trulli;10;Trulli;Trulli;99;20;30;99:99.999;1;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;99;10;15;99:99.999;1;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;99;5;26;99:99.999;1;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Michela Cerruti;18;Trulli;Trulli;99;17;20;99:99.999;1;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;99;1;23;99:99.999;1;0,3,0;3"
"1;4;2015 Buenos Aires;10/01/2015;Salvador Durán;77;Amlin Aguri;Techeetah;99;16;35;+14.724s5;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;1;2;39;46:12.349;0;25,0,0;25"
"1;5;2015 Miami;14/03/2015;Scott Speed;28;Andretti;BMW-Andretti;2;10;39;+0.433s;0;18,0,0;18"
"1;5;2015 Miami;14/03/2015;Daniel Abt;66;Audi Sport ABT;Audi;3;4;39;+5.518s;0;15,0,0;15"
"1;5;2015 Miami;14/03/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;4;8;39;+5.941s;0;12,0,0;12"
"1;5;2015 Miami;14/03/2015;Nelson Piquet Jr.;99;China Racing;NIO-NextEV;5;7;39;+6.426s;0;10,0,2;12"
"1;5;2015 Miami;14/03/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;6;16;39;+8.754s;0;8,0,0;8"
"1;5;2015 Miami;14/03/2015;Loïc Duval;6;Dragon Racing;Dragon;7;18;39;+9.498s;0;6,0,0;6"
"1;5;2015 Miami;14/03/2015;Sam Bird;2;Virgin Racing;Virgin;8;3;39;+19.817s;0;4,0,0;4"
"1;5;2015 Miami;14/03/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;9;6;39;+20.631s;0;2,0,0;2"
"1;5;2015 Miami;14/03/2015;Salvador Durán;77;Amlin Aguri;Techeetah;10;12;39;+24.587s;0;1,0,0;1"
"1;5;2015 Miami;14/03/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;11;9;39;+43.883s;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Nick Heidfeld;23;Venturi;Venturi;12;19;39;+47.878s;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;13;13;39;+1:04.587s;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;14;20;39;+1:23.539s;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Jarno Trulli;10;Trulli;Trulli;15;14;38;+1 lap;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Vitantonio Liuzzi;18;Trulli;Trulli;16;11;38;+1 lap;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Charles Pic;88;China Racing;NIO-NextEV;17;17;38;+1 lap;0;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;18;1;37;+2 laps;0;0,3,0;3"
"1;5;2015 Miami;14/03/2015;Bruno Senna;21;Mahindra Racing;Mahindra;99;15;25;99:99.999;1;0,0,0;0"
"1;5;2015 Miami;14/03/2015;Stéphane Sarrazin;30;Venturi;Venturi;99;5;31;99:99.999;1;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Nelson Piquet Jr.;99;China Racing;NIO-NextEV;1;3;39;46:01.971;0;25,0,0;25"
"1;6;2015 Long Beach;04/04/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;2;5;39;+1.705s;0;18,0,0;18"
"1;6;2015 Long Beach;04/04/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;3;4;39;+2.994s;0;15,0,0;15"
"1;6;2015 Long Beach;04/04/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;4;10;39;+3.518s;0;12,0,0;12"
"1;6;2015 Long Beach;04/04/2015;Bruno Senna;21;Mahindra Racing;Mahindra;5;12;39;+8.844s;0;10,0,0;10"
"1;6;2015 Long Beach;04/04/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;6;8;39;+13.460s;0;8,0,0;8"
"1;6;2015 Long Beach;04/04/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;7;7;39;+16.171s;0;6,0,0;6"
"1;6;2015 Long Beach;04/04/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;8;14;39;+17.975s;0;4,0,0;4"
"1;6;2015 Long Beach;04/04/2015;Loïc Duval;6;Dragon Racing;Dragon;9;17;39;+18.436s;0;2,0,0;2"
"1;6;2015 Long Beach;04/04/2015;Stéphane Sarrazin;30;Venturi;Venturi;10;9;39;+20.418s;0;1,0,0;1"
"1;6;2015 Long Beach;04/04/2015;Nick Heidfeld;23;Venturi;Venturi;11;15;39;+21.326s;0;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;12;18;39;+32.917s;0;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Vitantonio Liuzzi;18;Trulli;Trulli;13;20;39;+38.592s;0;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;14;2;39;+42.375s;0;0,0,2;2"
"1;6;2015 Long Beach;04/04/2015;Daniel Abt;66;Audi Sport ABT;Audi;15;1;39;+44.361s;0;0,3,0;3"
"1;6;2015 Long Beach;04/04/2015;Charles Pic;88;China Racing;NIO-NextEV;16;16;39;+58.125s;0;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Jarno Trulli;10;Trulli;Trulli;99;13;7;99:99.999;1;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Salvador Durán;77;Amlin Aguri;Techeetah;99;19;27;99:99.999;1;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Sam Bird;2;Virgin Racing;Virgin;99;11;22;99:99.999;1;0,0,0;0"
"1;6;2015 Long Beach;04/04/2015;Scott Speed;28;Andretti;BMW-Andretti;99;6;3;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;1;1;47;48:05.225;0;25,3,0;28"
"1;7;2015 Monaco;09/05/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;2;2;47;2154;0;18,0,0;18"
"1;7;2015 Monaco;09/05/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO-NextEV;3;4;47;4634;0;15,0,0;15"
